T000: [  1,  1,  0 ] CP04
      [ -1,  0, -1 ] CN06
      [  0, -1,  1 ] CN09

T001: [ -1,  1,  0 ] CN05
      [  1,  0,  1 ] CP06
      [  0, -1, -1 ] CN08

T002: [  1, -1,  0 ] CP05
      [ -1,  0,  1 ] CN07
      [  0,  1, -1 ] CP09

T003: [ -1, -1,  0 ] CN04
      [  1,  0, -1 ] CP07
      [  0,  1,  1 ] CP08

T004: [ -1, -1,  0 ] CN04
      [  1,  0,  1 ] CP06
      [  0,  1, -1 ] CP09

T005: [  1, -1,  0 ] CP05
      [ -1,  0, -1 ] CN06
      [  0,  1,  1 ] CP08

T006: [ -1,  1,  0 ] CN05
      [  1,  0, -1 ] CP07
      [  0, -1,  1 ] CN09

T007: [  1,  1,  0 ] CP04
      [ -1,  0,  1 ] CN07
      [  0, -1, -1 ] CN08

T008: [  1,  0,  0 ] CP01
      [  0,  1,  0 ] CP02
      [ -1, -1,  0 ] CN04

T009: [  1,  0,  0 ] CP01
      [  0, -1,  0 ] CN02
      [ -1,  1,  0 ] CN05

T010: [  1,  0,  0 ] CP01
      [  0,  0,  1 ] CP03
      [ -1,  0, -1 ] CN06

T011: [  1,  0,  0 ] CP01
      [  0,  0, -1 ] CN03
      [ -1,  0,  1 ] CN07

T012: [ -1,  0,  0 ] CN01
      [  0,  1,  0 ] CP02
      [  1, -1,  0 ] CP05

T013: [ -1,  0,  0 ] CN01
      [  0, -1,  0 ] CN02
      [  1,  1,  0 ] CP04

T014: [ -1,  0,  0 ] CN01
      [  0,  0,  1 ] CP03
      [  1,  0, -1 ] CP07

T015: [ -1,  0,  0 ] CN01
      [  0,  0, -1 ] CN03
      [  1,  0,  1 ] CP06

T016: [  0,  1,  0 ] CP02
      [  0,  0,  1 ] CP03
      [  0, -1, -1 ] CN08

T017: [  0,  1,  0 ] CP02
      [  0,  0, -1 ] CN03
      [  0, -1,  1 ] CN09

T018: [  0, -1,  0 ] CN02
      [  0,  0,  1 ] CP03
      [  0,  1, -1 ] CP09

T019: [  0, -1,  0 ] CN02
      [  0,  0, -1 ] CN03
      [  0,  1,  1 ] CP08

T020: [  1,  0,  0 ] CP01
      [ -1, -1,  0 ] CN04
      [ -1,  1, -1 ] CN12

T021: [  1,  0,  0 ] CP01
      [ -1, -1,  0 ] CN04
      [ -1,  1,  1 ] CN13

T022: [  1,  0,  0 ] CP01
      [ -1,  1,  0 ] CN05
      [ -1, -1, -1 ] CN10

T023: [  1,  0,  0 ] CP01
      [ -1,  1,  0 ] CN05
      [ -1, -1,  1 ] CN11

T024: [  1,  0,  0 ] CP01
      [ -1,  0, -1 ] CN06
      [ -1, -1,  1 ] CN11

T025: [  1,  0,  0 ] CP01
      [ -1,  0, -1 ] CN06
      [ -1,  1,  1 ] CN13

T026: [  1,  0,  0 ] CP01
      [ -1,  0,  1 ] CN07
      [ -1, -1, -1 ] CN10

T027: [  1,  0,  0 ] CP01
      [ -1,  0,  1 ] CN07
      [ -1,  1, -1 ] CN12

T028: [ -1,  0,  0 ] CN01
      [  1,  1,  0 ] CP04
      [  1, -1,  1 ] CP12

T029: [ -1,  0,  0 ] CN01
      [  1,  1,  0 ] CP04
      [  1, -1, -1 ] CP13

T030: [ -1,  0,  0 ] CN01
      [  1, -1,  0 ] CP05
      [  1,  1,  1 ] CP10

T031: [ -1,  0,  0 ] CN01
      [  1, -1,  0 ] CP05
      [  1,  1, -1 ] CP11

T032: [ -1,  0,  0 ] CN01
      [  1,  0,  1 ] CP06
      [  1,  1, -1 ] CP11

T033: [ -1,  0,  0 ] CN01
      [  1,  0,  1 ] CP06
      [  1, -1, -1 ] CP13

T034: [ -1,  0,  0 ] CN01
      [  1,  0, -1 ] CP07
      [  1,  1,  1 ] CP10

T035: [ -1,  0,  0 ] CN01
      [  1,  0, -1 ] CP07
      [  1, -1,  1 ] CP12

T036: [  0,  1,  0 ] CP02
      [ -1, -1,  0 ] CN04
      [  1, -1,  1 ] CP12

T037: [  0,  1,  0 ] CP02
      [ -1, -1,  0 ] CN04
      [  1, -1, -1 ] CP13

T038: [  0,  1,  0 ] CP02
      [  1, -1,  0 ] CP05
      [ -1, -1, -1 ] CN10

T039: [  0,  1,  0 ] CP02
      [  1, -1,  0 ] CP05
      [ -1, -1,  1 ] CN11

T040: [  0,  1,  0 ] CP02
      [  0, -1, -1 ] CN08
      [ -1, -1,  1 ] CN11

T041: [  0,  1,  0 ] CP02
      [  0, -1, -1 ] CN08
      [  1, -1,  1 ] CP12

T042: [  0,  1,  0 ] CP02
      [  0, -1,  1 ] CN09
      [ -1, -1, -1 ] CN10

T043: [  0,  1,  0 ] CP02
      [  0, -1,  1 ] CN09
      [  1, -1, -1 ] CP13

T044: [  0, -1,  0 ] CN02
      [  1,  1,  0 ] CP04
      [ -1,  1, -1 ] CN12

T045: [  0, -1,  0 ] CN02
      [  1,  1,  0 ] CP04
      [ -1,  1,  1 ] CN13

T046: [  0, -1,  0 ] CN02
      [ -1,  1,  0 ] CN05
      [  1,  1,  1 ] CP10

T047: [  0, -1,  0 ] CN02
      [ -1,  1,  0 ] CN05
      [  1,  1, -1 ] CP11

T048: [  0, -1,  0 ] CN02
      [  0,  1,  1 ] CP08
      [  1,  1, -1 ] CP11

T049: [  0, -1,  0 ] CN02
      [  0,  1,  1 ] CP08
      [ -1,  1, -1 ] CN12

T050: [  0, -1,  0 ] CN02
      [  0,  1, -1 ] CP09
      [  1,  1,  1 ] CP10

T051: [  0, -1,  0 ] CN02
      [  0,  1, -1 ] CP09
      [ -1,  1,  1 ] CN13

T052: [  0,  0,  1 ] CP03
      [ -1,  0, -1 ] CN06
      [  1,  1, -1 ] CP11

T053: [  0,  0,  1 ] CP03
      [ -1,  0, -1 ] CN06
      [  1, -1, -1 ] CP13

T054: [  0,  0,  1 ] CP03
      [  1,  0, -1 ] CP07
      [ -1, -1, -1 ] CN10

T055: [  0,  0,  1 ] CP03
      [  1,  0, -1 ] CP07
      [ -1,  1, -1 ] CN12

T056: [  0,  0,  1 ] CP03
      [  0, -1, -1 ] CN08
      [  1,  1, -1 ] CP11

T057: [  0,  0,  1 ] CP03
      [  0, -1, -1 ] CN08
      [ -1,  1, -1 ] CN12

T058: [  0,  0,  1 ] CP03
