QSM Env:/work/qsm/qsm-go$ go tool pprof --text m3space.test cprof
File: m3space.test
Type: cpu
Time: Mar 4, 2019 at 12:20pm (EST)
Duration: 33.89s, Total samples = 50.86s (150.09%)
Showing nodes accounting for 46.51s, 91.45% of 50.86s total
Dropped 230 nodes (cum <= 0.25s)
      flat  flat%   sum%        cum   cum%
     8.23s 16.18% 16.18%      8.24s 16.20%  runtime.usleep
     3.55s  6.98% 23.16%      6.27s 12.33%  runtime.scanobject
     2.91s  5.72% 28.88%      2.91s  5.72%  runtime.memmove
     2.72s  5.35% 34.23%      3.74s  7.35%  runtime.mapaccess2
     2.03s  3.99% 38.22%      2.03s  3.99%  runtime.pthread_cond_wait
     1.84s  3.62% 41.84%      1.84s  3.62%  runtime.memclrNoHeapPointers
     1.77s  3.48% 45.32%      1.77s  3.48%  runtime.(*mspan).refillAllocCache
     1.52s  2.99% 48.31%      1.52s  2.99%  runtime.pthread_cond_signal
     1.46s  2.87% 51.18%      2.70s  5.31%  runtime.convT2Eslice
     1.39s  2.73% 53.91%      1.43s  2.81%  github.com/freddy33/qsm-go/m3space.(*SavedNode).IsOld (partial-inline)
     1.03s  2.03% 55.94%      3.03s  5.96%  github.com/freddy33/qsm-go/m3space.(*Event).createNewPossibleOutgrowths
     0.93s  1.83% 57.77%      6.29s 12.37%  runtime.mallocgc
     0.84s  1.65% 59.42%      1.08s  2.12%  runtime.findObject
     0.82s  1.61% 61.03%      1.72s  3.38%  sync.(*Pool).Put
     0.81s  1.59% 62.62%      0.83s  1.63%  github.com/freddy33/qsm-go/m3space.(*SavedNode).IsDead (inline)
     0.78s  1.53% 64.16%      9.31s 18.31%  github.com/freddy33/qsm-go/m3space.(*Space).moveOldToOldMaps
     0.73s  1.44% 65.59%      0.73s  1.44%  runtime.nanotime
     0.71s  1.40% 66.99%      0.71s  1.40%  runtime.(*mspan).init (inline)
     0.64s  1.26% 68.25%      0.64s  1.26%  runtime.aeshashbody
     0.60s  1.18% 69.43%      1.21s  2.38%  runtime.greyobject
     0.55s  1.08% 70.51%      1.13s  2.22%  runtime.convT2Estring
     0.49s  0.96% 71.47%      1.08s  2.12%  github.com/freddy33/qsm-go/m3space.makeConnection
     0.49s  0.96% 72.43%      0.49s  0.96%  memeqbody
     0.47s  0.92% 73.36%      0.48s  0.94%  sync.(*Mutex).Lock
     0.41s  0.81% 74.16%      0.63s  1.24%  github.com/freddy33/qsm-go/m3space.(*OutgrowthCollectorSameEvent).addNewEoFromSingle
     0.40s  0.79% 74.95%      0.99s  1.95%  runtime.mapassign
     0.39s  0.77% 75.72%      2.47s  4.86%  runtime.lock
     0.39s  0.77% 76.48%      0.84s  1.65%  sync.(*Pool).getSlow
