d,c,avg_cd,min_cd,max_cd,stddev_cd
0,1,0,0,0,
1,3,1.4142135623731,1.4142135623731,1.4142135623731,2.4333494333259e-08
2,6,2.23606797749979,2.23606797749979,2.23606797749979,0
3,12,3.21862364971568,2.82842712474619,3.74165738677394,0.391447386211635
4,22,3.99312310466098,3.3166247903554,5.3851648071345,0.498057807053152
5,34,4.6778078913185,2.82842712474619,6.16441400296898,0.738874108381894
6,49,5.62728251086066,4.12310562561766,7.34846922834953,0.820960890323105
7,73,6.53531535836221,5.09901951359278,8.60232526704263,0.746702763014329
8,94,7.37698935923334,5.3851648071345,9.4339811320566,0.819930703951433
9,120,8.40935578834702,6.16441400296898,11.0453610171873,0.859588659685516
10,163,9.35516773562335,7.28010988928052,12.6885775404495,0.883233299896193
11,198,10.3212849934154,7.48331477354788,13.490737563232,0.879181278034642
12,222,11.3426259041407,9.4339811320566,14.6969384566991,0.896332262334555
13,260,12.3330021337215,9.89949493661167,15.9373774505092,0.926310354567104
14,311,13.2323272588727,11.1803398874989,16.7630546142402,0.9394838368081
15,358,14.1992136756101,11.3137084989848,18.3847763108502,1.0410005098834
16,412,15.2210206913851,12.4498995979887,20.0249843945008,1.06029651354745
17,477,16.1605375080017,13.076696830622,20.8326666559997,1.09933334920115
18,533,17.1351502081257,13.6014705087354,22.0454076850486,1.16582957561398
19,593,18.1631172127084,15.1657508881031,23.2808934536456,1.1682711720593
20,650,19.1128397801844,15.8429795177549,24.1039415863879,1.19228458242988
21,705,20.0934665224477,16.6733320005331,25.7293606605372,1.26529573070845
22,788,21.0849160409029,18,27.367864366808,1.32560391256871
23,871,22.0398624917254,18.3847763108502,28.1780056072107,1.37210545162156
24,940,23.0010160463963,19.4164878389476,29.3938769133981,1.43145300422909
25,1034,23.9823978771676,20.1246117974981,30.6267856622271,1.47955024147345
26,1125,24.9491016232652,21.4709105535839,31.4483703870328,1.50240590446217
27,1197,25.9520020765706,22.7596133534821,33.0756708170825,1.55335032685032
