Type: cpu
Time: Jul 4, 2019 at 6:48pm (IDT)
Duration: 17.78s, Total samples = 21.57s (121.28%)
Showing nodes accounting for 19.57s, 90.73% of 21.57s total
Dropped 139 nodes (cum <= 0.11s)
      flat  flat%   sum%        cum   cum%
     2.25s 10.43% 10.43%      4.24s 19.66%  runtime.scanobject
     1.68s  7.79% 18.22%      4.54s 21.05%  github.com/freddy33/qsm-go/m3point.createTrioCube
     1.49s  6.91% 25.13%      1.49s  6.91%  runtime.memmove
     1.20s  5.56% 30.69%      1.66s  7.70%  runtime.mapaccess2
     1.09s  5.05% 35.74%      1.09s  5.05%  github.com/freddy33/qsm-go/m3point.Point.IsMainPoint
     0.97s  4.50% 40.24%     10.91s 50.58%  github.com/freddy33/qsm-go/m3path.(*BasePathLink).createDstNode
     0.74s  3.43% 43.67%      1.89s  8.76%  github.com/freddy33/qsm-go/m3point.(*TrioContext).GetBaseDivByThree
     0.67s  3.11% 46.78%      0.89s  4.13%  runtime.findObject
     0.52s  2.41% 49.19%      0.59s  2.74%  runtime.heapBitsSetType
     0.52s  2.41% 51.60%      0.52s  2.41%  runtime.memclrNoHeapPointers
     0.45s  2.09% 53.69%     13.64s 63.24%  github.com/freddy33/qsm-go/m3path.(*BasePathContext).MoveToNextNodes
     0.45s  2.09% 55.77%      0.45s  2.09%  runtime.aeshashbody
     0.41s  1.90% 57.67%      0.41s  1.90%  runtime.kevent
     0.37s  1.72% 59.39%      0.37s  1.72%  runtime.pthread_cond_wait
     0.36s  1.67% 61.06%      0.36s  1.67%  runtime.pthread_cond_timedwait_relative_np
     0.36s  1.67% 62.73%      0.36s  1.67%  runtime.usleep
     0.34s  1.58% 64.30%      2.04s  9.46%  runtime.mallocgc
     0.31s  1.44% 65.74%      0.31s  1.44%  runtime.pageIndexOf
     0.30s  1.39% 67.13%      0.33s  1.53%  github.com/freddy33/qsm-go/m3point.(*TrioContext).GetBaseTrioIndex
     0.29s  1.34% 68.47%      0.29s  1.34%  github.com/freddy33/qsm-go/m3path.(*OutPathNode).IsLatest
     0.26s  1.21% 69.68%      0.26s  1.21%  github.com/freddy33/qsm-go/m3path.(*BasePathLink).GetConnId
     0.25s  1.16% 70.84%      5.76s 26.70%  github.com/freddy33/qsm-go/m3point.(*LastIntermediatePathNodeBuilder).GetNextPathNodeBuilder
     0.24s  1.11% 71.95%      0.24s  1.11%  github.com/freddy33/qsm-go/m3point.(*TrioDetails).HasConnection
     0.24s  1.11% 73.06%      0.81s  3.76%  runtime.evacuate
     0.23s  1.07% 74.13%      0.23s  1.07%  github.com/freddy33/qsm-go/m3point.GetMiddleEdgeIndex
     0.23s  1.07% 75.20%      0.23s  1.07%  github.com/freddy33/qsm-go/m3point.Point.Sub
     0.23s  1.07% 76.26%      0.97s  4.50%  runtime.greyobject
     0.22s  1.02% 77.28%      1.28s  5.93%  github.com/freddy33/qsm-go/m3path.(*OutPathNode).addPathLink
     0.22s  1.02% 78.30%      0.22s  1.02%  github.com/freddy33/qsm-go/m3point.Point.Add
     0.22s  1.02% 79.32%      0.25s  1.16%  runtime.getempty
     0.21s  0.97% 80.30%      5.13s 23.78%  github.com/freddy33/qsm-go/m3point.GetPathNodeBuilder
     0.21s  0.97% 81.27%      0.22s  1.02%  runtime.spanOf
     0.19s  0.88% 82.15%      5.86s 27.17%  runtime.gcDrain
     0.18s  0.83% 82.99%      0.26s  1.21%  github.com/freddy33/qsm-go/m3point.(*RootPathNodeBuilder).GetNextPathNodeBuilder
     0.17s  0.79% 83.77%      0.65s  3.01%  runtime.memhash
     0.17s  0.79% 84.56%      0.17s  0.79%  runtime.pthread_cond_signal
